product,answer_option,label,review_len,Rn,Rp,Rs,Rc,Rd,Rsc
Accucheck,Fast and accurate delivery,0,4,0.23188657036647248,0.30000000000000004,0.6166666666666667,0.004901960784313725,1.0,0.0
Accucheck,As usual it is genuine ,0,5,0.0,0.07500000000000001,0.375,0.006127450980392157,1.0,0.0
Accucheck,Behavior of delivery boy is very bad. Delivery time is long where as other online stores are providing better facilities,0,20,0.7283152961278441,-0.14625,0.5354166666666667,0.023284313725490197,1.0,-0.2247
Accucheck,These strips were as per my requirment,0,7,1.0,0.0,0.0,0.00857843137254902,0.0,0.0
Accucheck,Fast service was good,0,4,0.3741015686269585,0.44999999999999996,0.6000000000000001,0.004901960784313725,1.0,0.4404
Accucheck,Received 10 strips and 2 packets of lancets ..in place of 100 strips,0,13,1.0561905064709047,0.0,0.0,0.013480392156862746,1.0,0.0
Accucheck,Does not fit my machine ,0,5,0.4545271324574253,-0.2,0.4,0.006127450980392157,0.0,-0.2755
Accucheck,Discount and quick response,0,4,0.6657815835038005,0.3333333333333333,0.5,0.004901960784313725,1.0,0.0
Accucheck,Fast delivery with good packing.,0,5,0.5185136186539101,0.44999999999999996,0.6000000000000001,0.006127450980392157,1.0,0.4404
Accucheck,My favorite daily needs as trusted,0,6,0.21944508339294344,0.25,0.5,0.007352941176470588,0.0,0.7269
Accucheck,I liked the simplified ordering process,0,6,0.5496101417212694,0.6,0.8,0.007352941176470588,1.0,0.4215
Accucheck,have been using the product is fine,0,7,0.33443917366840653,0.4166666666666667,0.5,0.00857843137254902,0.0,0.2023
Accucheck,Does not fit into my new Accu-Chek glucometer received recently . Box of 50 strips was ordered along with the Glucometer and I presumed it to be the right one .,0,31,0.2308061435243466,0.05551948051948051,0.410064935064935,0.03553921568627451,1.0,-0.2755
Accucheck,It's some Chinese vendor product not the actual Accu-Chek strip,0,10,0.35574147425992253,0.0,0.05,0.012254901960784314,1.0,0.0
Accucheck,packing is good and date of expiry is more,0,9,0.836454099544398,0.6,0.55,0.00980392156862745,1.0,0.4404
Accucheck,It get deliver on time and I get good discount.,0,10,0.5341293306936332,0.7,0.6000000000000001,0.011029411764705883,1.0,0.4404
Accucheck,Good discount & fast delivery.,0,5,0.5114152229095354,0.44999999999999996,0.6000000000000001,0.006127450980392157,1.0,0.4404
Accucheck,INTERNAL PACKING IS DAMAGED,0,4,0.2566573007806142,0.0,0.0,0.004901960784313725,1.0,-0.4404
Accucheck,Very Nice product and prompt delivery.,0,6,0.38132989091235137,0.78,1.0,0.007352941176470588,1.0,0.4754
Accucheck,Product is good as described,0,5,0.26873302753336137,0.7,0.6000000000000001,0.006127450980392157,0.0,0.4404
Accucheck,Ease of doing business,0,4,1.0,0.0,0.0,0.004901960784313725,0.0,0.3612
Accucheck,Can not see expiry before order all other is good,0,10,0.7673454354494676,0.2875,0.48750000000000004,0.012254901960784314,1.0,0.4404
Accucheck,Your packing was very bad and it was torn somewhere,0,10,0.27956413203295216,-0.9099999999999998,0.8666666666666667,0.011029411764705883,1.0,-0.6997
Accucheck,Everything is right there but please try to cut rate on 50 or 100 strips  after that it will be reach in more hands thanks.,0,25,0.46356352571089837,0.32857142857142857,0.41190476190476183,0.030637254901960783,0.0,0.6925
Accucheck,The product is good,0,4,0.54692500680622,0.7,0.6000000000000001,0.004901960784313725,0.0,0.4404
Accucheck,The Accu-Chek active strips are quite reliable.,1,7,0.13676281879399613,-0.13333333333333333,0.6,0.00857843137254902,0.0,0.4019
Accucheck,The supply is as per requirement and satisfaction.,0,8,1.0000000000000002,0.0,0.0,0.00980392156862745,1.0,0.4404
Accucheck,Price expected RS 650/-,0,4,0.24306567446422792,-0.1,0.4,0.004901960784313725,0.0,0.0
Accucheck,It’s value for money and cheaper than market,0,8,0.7593980478888541,0.0,0.0,0.00980392156862745,0.0,0.34
Accucheck,addition of delivery charges on the purchase more than Rs. 1000/,0,11,0.7696885250856779,0.5,0.5,0.013480392156862746,1.0,-0.2732
Accucheck,It is easy to see blood suger ,1,7,0.7119966838576934,0.43333333333333335,0.8333333333333334,0.00857843137254902,0.0,0.4404
Accucheck,Product ordered wrong and not replace first time shop and had loss of 600/_ I am not rich person I ordered from you for save some money and got loss. And till now not able to purchase new strip for checking my blood sugar what is going in my bong I don't know,0,53,0.5187961684185176,-0.11022727272727273,0.6125757575757576,0.05392156862745098,1.0,-0.7524
Accucheck,Overall experience was good,0,4,0.42241065783524934,0.35,0.30000000000000004,0.004901960784313725,0.0,0.4404
Accucheck,I like the app because it contains all medicine,0,9,0.5185856687049771,0.0,0.0,0.011029411764705883,1.0,0.3612
Accucheck,Nothing to dislike. ,0,3,0.0,0.0,0.0,0.003676470588235294,0.0,0.2924
Accucheck,"Yes, I like this product.",0,5,0.22862210410252334,0.0,0.0,0.006127450980392157,1.0,0.6369
Accucheck,"I like that Accu-Check Active Strip box, bcz that is as per discription. But i dont like delivery bcz the external box(package)  got damaged much. However the Active strip box is Ok.",0,32,0.35394065215851084,-0.016666666666666663,0.375,0.031862745098039214,1.0,-0.0938
Accucheck,no description mentioned in what machine it can be used,0,10,0.661481315617728,0.0,0.0,0.012254901960784314,0.0,-0.296
